
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-06-02 15:30:00 /api/notifications ................................................................. ~ 505.64ms
  2026-06-02 15:30:01 /api/landing-pages ................................................................. ~ 501.40ms
  2026-06-02 15:30:01 /api/sources ............................................................................. ~ 1s
  2026-06-02 15:30:02 /api/campaigns ..................................................................... ~ 508.82ms
  2026-06-02 15:30:02 /api/landing-pages ................................................................. ~ 506.77ms
  2026-06-02 15:30:02 /api/sources ....................................................................... ~ 506.82ms
  2026-06-02 15:30:03 /api/campaigns ..................................................................... ~ 508.44ms
  2026-06-02 15:30:03 /api/sources ......................................................................... ~ 0.46ms
  2026-06-02 15:30:03 /api/users ......................................................................... ~ 506.86ms
  2026-06-02 15:30:04 /api/landing-pages ....................................................................... ~ 1s
  2026-06-02 15:30:04 /api/leads ......................................................................... ~ 507.13ms
  2026-06-02 15:30:04 /api/campaigns ..................................................................... ~ 507.99ms
  2026-06-02 15:30:05 /api/sources ............................................................................. ~ 1s
  2026-06-02 15:30:05 /api/users ......................................................................... ~ 508.65ms
  2026-06-02 15:30:05 /api/landing-pages ................................................................. ~ 507.81ms
  2026-06-02 15:30:05 /api/leads ......................................................................... ~ 507.02ms
  2026-06-02 15:30:06 /api/campaigns ..................................................................... ~ 508.13ms
  2026-06-02 15:30:10 /api/leads/delayed ................................................................. ~ 501.61ms
  2026-06-02 15:30:10 /api/dashboard/top-users ............................................................. ~ 0.53ms
  2026-06-02 15:30:10 /api/dashboard-data/last-comments .................................................. ~ 507.16ms
  2026-06-02 15:30:11 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.62ms
  2026-06-02 15:30:11 /api/campaigns/dashboard-stats ..................................................... ~ 505.58ms
  2026-06-02 15:30:11 /api/leads/pipeline-analysis ............................................................. ~ 1s
  2026-06-02 15:30:11 /api/stages ........................................................................ ~ 507.31ms
  2026-06-02 15:30:12 /api/user .......................................................................... ~ 507.99ms
  2026-06-02 15:30:12 /api/dashboard-data/active-users ................................................... ~ 507.65ms
  2026-06-02 15:30:12 /api/users ......................................................................... ~ 505.53ms
  2026-06-02 15:30:13 /api/users ............................................................................... ~ 1s
  2026-06-02 15:30:13 /api/stages ........................................................................ ~ 507.88ms
  2026-06-02 15:30:13 /api/leads/stats ................................................................... ~ 507.16ms
