
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-06-07 14:54:13 /api/website-connections ........................................................... ~ 505.67ms
  2026-06-07 14:54:13 /api/auth/google/status .................................................................. ~ 1s
  2026-06-07 14:54:14 /api/tenant-config ................................................................. ~ 509.29ms
  2026-06-07 14:54:14 /api/auth/meta/status .............................................................. ~ 507.71ms
  2026-06-07 14:54:14 /api/auth/meta/app-settings ........................................................ ~ 505.47ms
  2026-06-07 14:54:14 /api/website-connections ........................................................... ~ 505.52ms
  2026-06-07 14:54:15 /api/auth/google/status ............................................................ ~ 507.10ms
  2026-06-07 14:54:15 /api/tenant-config ................................................................. ~ 506.68ms
  2026-06-07 14:54:15 /api/campaigns/dashboard-stats ..................................................... ~ 506.86ms
  2026-06-07 14:54:15 /api/stages ........................................................................ ~ 506.03ms
  2026-06-07 14:54:16 /api/leads/stats ......................................................................... ~ 1s
  2026-06-07 14:54:16 /api/leads/analysis ................................................................ ~ 507.86ms
  2026-06-07 14:54:16 /api/dashboard-data/last-comments .................................................. ~ 508.11ms
  2026-06-07 14:54:17 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.19ms
  2026-06-07 14:54:17 /api/admin/fields .................................................................. ~ 505.27ms
  2026-06-07 14:54:17 /api/sources ............................................................................. ~ 1s
  2026-06-07 14:54:18 /api/stages .............................................................................. ~ 1s
  2026-06-07 14:54:18 /api/campaigns ........................................................................... ~ 1s
  2026-06-07 14:54:18 /api/items ......................................................................... ~ 510.44ms
  2026-06-07 14:54:19 /api/leads/stats ................................................................... ~ 508.81ms
  2026-06-07 14:54:19 /api/leads ............................................................................... ~ 1s
  2026-06-07 14:54:20 /api/referral-supervisors .......................................................... ~ 507.75ms
  2026-06-07 14:54:20 /api/website-connections ........................................................... ~ 504.78ms
  2026-06-07 14:54:20 /api/website-connections ................................................................. ~ 1s
  2026-06-07 14:54:21 /api/users ......................................................................... ~ 507.07ms
  2026-06-07 14:54:21 /api/auth/meta/status .............................................................. ~ 508.36ms
  2026-06-07 14:54:21 /api/auth/meta/app-settings .............................................................. ~ 1s
  2026-06-07 14:54:22 /api/website-connections ................................................................. ~ 1s
  2026-06-07 14:54:22 /api/auth/google/status .................................................................. ~ 1s
  2026-06-07 14:54:23 /api/tenant-config ................................................................. ~ 507.90ms
  2026-06-07 14:54:23 /api/dashboard-data/last-comments .................................................. ~ 506.86ms
  2026-06-07 14:54:23 /api/dashboard-data/recent-phone-calls ................................................... ~ 1s
  2026-06-07 14:54:24 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.49ms
  2026-06-07 14:54:24 /api/admin/fields .................................................................. ~ 505.57ms
  2026-06-07 14:54:24 /api/sources ............................................................................. ~ 1s
  2026-06-07 14:54:25 /api/stages ........................................................................ ~ 508.41ms
  2026-06-07 14:54:25 /api/campaigns ..................................................................... ~ 507.76ms
  2026-06-07 14:54:25 /api/items ......................................................................... ~ 507.06ms
  2026-06-07 14:54:26 /api/dashboard-data/last-comments .................................................. ~ 507.71ms
  2026-06-07 14:54:26 /api/referral-supervisors ................................................................ ~ 1s
  2026-06-07 14:54:26 /api/users ......................................................................... ~ 507.15ms
  2026-06-07 14:54:27 /api/auth/meta/status .............................................................. ~ 505.74ms
  2026-06-07 14:54:27 /api/auth/meta/app-settings .............................................................. ~ 1s
  2026-06-07 14:54:27 /api/website-connections ........................................................... ~ 506.46ms
  2026-06-07 14:54:28 /api/auth/google/status ............................................................ ~ 506.11ms
  2026-06-07 14:54:28 /api/tenant-config ....................................................................... ~ 1s
  2026-06-07 14:54:28 /api/sources ....................................................................... ~ 508.15ms
  2026-06-07 14:54:29 /api/campaigns ..................................................................... ~ 508.33ms
  2026-06-07 14:54:29 /api/auth/meta/status .............................................................. ~ 508.11ms
  2026-06-07 14:54:29 /api/auth/meta/app-settings ........................................................ ~ 506.56ms
  2026-06-07 14:54:30 /api/website-connections ................................................................. ~ 1s
  2026-06-07 14:54:30 /api/sources ....................................................................... ~ 507.28ms
  2026-06-07 14:54:30 /api/campaigns ..................................................................... ~ 506.45ms
  2026-06-07 14:54:31 /api/auth/meta/status .................................................................... ~ 1s
  2026-06-07 14:54:31 /api/auth/meta/app-settings ........................................................ ~ 507.76ms
  2026-06-07 14:54:31 /api/website-connections ........................................................... ~ 506.88ms
  2026-06-07 14:54:32 /api/sources ............................................................................. ~ 1s
  2026-06-07 14:54:32 /api/campaigns ..................................................................... ~ 509.13ms
  2026-06-07 14:54:32 /api/auth/meta/status .............................................................. ~ 507.44ms
  2026-06-07 14:54:33 /api/auth/meta/app-settings .............................................................. ~ 1s
  2026-06-07 14:54:33 /api/website-connections ........................................................... ~ 507.32ms
  2026-06-07 14:54:33 /api/sources ....................................................................... ~ 506.59ms
  2026-06-07 14:54:33 /api/campaigns ..................................................................... ~ 507.62ms
  2026-06-07 14:54:34 /api/auth/meta/status .............................................................. ~ 508.23ms
  2026-06-07 14:54:34 /api/auth/meta/app-settings .............................................................. ~ 1s
